Id,SalePrice
1461,126017.43
1462,155753.84
1463,181279.23
1464,188543.25
1465,183496.6
1466,176740.02
1467,168632.73
1468,167548.66
1469,187973.78
1470,124870.7
1471,204899.75
1472,92496.94
1473,97586.22
1474,152826.66
1475,123601.266
1476,360328.53
1477,244704.16
1478,295715.34
1479,267390.9
1480,437491.06
1481,313440.8
1482,207426.1
1483,160395.0
1484,173434.7
1485,175618.08
1486,196112.1
1487,337302.78
1488,239341.44
1489,205005.58
1490,221769.84
1491,184579.39
1492,95595.336
1493,205402.02
1494,299672.56
1495,281111.0
1496,240213.44
1497,183476.89
1498,161650.31
1499,155859.66
1500,152120.14
1501,173973.12
1502,155588.48
1503,275911.12
1504,230154.48
1505,219787.97
1506,176960.44
1507,231652.9
1508,194608.98
1509,161705.25
1510,149507.17
1511,150297.69
1512,157533.61
1513,139105.1
1514,171646.28
1515,193796.36
1516,155256.1
1517,160083.6
1518,121117.914
1519,233647.89
1520,138499.52
1521,149018.72
1522,152661.4
1523,108448.06
1524,119602.49
1525,118742.97
1526,129775.14
1527,94423.65
1528,135213.12
1529,147514.66
1530,173539.31
1531,109170.695
1532,102393.9
1533,139279.92
1534,115351.18
1535,162026.88
1536,104133.19
1537,88049.984
1538,169906.05
1539,208601.48
1540,110199.34
1541,152093.22
1542,146284.52
1543,232023.12
1544,77766.88
1545,110114.36
1546,134859.64
1547,157521.55
1548,141599.69
1549,119320.08
1550,150227.97
1551,119643.45
1552,141461.61
1553,157065.06
1554,106843.38
1555,179158.83
1556,115558.38
1557,114648.51
1558,97016.21
1559,109621.516
1560,148443.27
1561,144259.36
1562,130838.86
1563,123852.28
1564,152434.31
1565,153681.25
1566,242777.75
1567,76697.734
1568,224686.05
1569,149068.03
1570,126537.805
1571,126376.47
1572,149768.98
1573,260420.23
1574,120899.734
1575,212590.62
1576,224525.02
1577,202472.55
1578,144075.61
1579,147805.67
1580,194115.33
1581,152720.98
1582,125723.24
1583,316301.1
1584,230462.78
1585,140785.67
1586,75218.05
1587,96325.99
1588,154613.81
1589,109976.26
